ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
IONS,"Ionis Pharmaceuticals, Inc.",IONS.3Q16,2300,2320,3Q16,2016/3F,73.1,11/09/2016,3,9/30/2016,0.06,0.08,0.09,-1.033,36.64,-1.077,27,-1.030,35.96,-50.84202,-24.91657,-25.783401,3.3821702,-3.7080705,-3.0646503,8.9,7.0,8.1,10.26634514,10.67271804,11.17010158,40.7,39.7,1.64,1.79,0.63332367,214.161,283.703,276.75732,-0.028,-0.040,-0.029,0.011,-54.224,-21.208,-22.719,0.270458192,0.100419037,-0.038075858,-0.080908524,-0.14,50.62,-2.31,-20.408,-29.412,29.22862706,11/8/2016,11/14/2016,11/2/2016,11/11/2015,10/12/2016,10/5/2016,8/10/2016
TLRD,"Tailored Brands, Inc.",TLRD.3Q16,3500,3525,3Q16,2016/3F,17.6,12/08/2016,4,9/30/2016,0.57,0.56,0.56,1.892,15.7,1.942,18.89,1.874,16.57,5.3045154,14.001203,23.950123,6.107521,0.8220196,5.5709004,14.6,16.0,8.1,20.09401604,22.71407753,15.55608515,18.7,18.7,1.69,1.69,0.45806268,3252.54,3496.27,3399.4333,0.120,0.103,0.113,0.010,-0.803,13.179,18.379,-0.08347677,0.803937737,-0.115349676,0.291714197,0.00,-1.18,0.00,2.571,2.571,4.516264212,12/7/2016,12/13/2016,12/1/2016,12/10/2015,11/10/2016,11/3/2016,9/8/2016
HALO,"Halozyme Therapeutics, Inc.",HALO.3Q16,2300,2320,3Q16,2016/3F,12.8,11/08/2016,2,9/30/2016,-0.28,-0.26,-0.30,-0.849,12.08,-0.860,8.46,-0.892,10.4,-28.56261,-18.65384,-28.66779,2.8789878,-3.330952,-1.9625127,15.6,12.3,19.5,21.49664589,19.55675229,20.1933572,14.5,14.5,1.22,1.25,0.6666667,75.334,135.057,150.14,-0.070,-0.102,-0.086,0.016,-31.442,-15.323,-26.705,0.260022805,-0.202445417,0.099193034,0.064540466,-0.03,71.03,0.46,5.232,-5.985,99.29912125,11/7/2016,11/11/2016,11/1/2016,11/10/2015,10/11/2016,10/4/2016,8/9/2016
FRAN,Francesca's Holdings Corporation,FRAN.3Q16,3500,3525,3Q16,2016/3F,13.3,12/06/2016,2,9/30/2016,0.18,0.18,0.15,1.079,15.43,1.092,16.61,0.932,13.99,4.551363,18.727673,6.0664177,3.9360523,1.2254477,5.0465703,8.2,8.2,4.6,10.18031717,10.20753288,6.993107936,15.5,13.3,1.91,1.77,0.53935987,377.497,439.377,483.3237,0.070,0.066,0.067,0.001,0.615,17.502,1.020,0,0.783130131,-0.002666238,0.455764342,0.14,-6.68,-14.19,0.470,18.381,28.0337857,12/5/2016,12/9/2016,11/29/2016,12/8/2015,11/8/2016,11/1/2016,9/6/2016
NVDA,NVIDIA Corporation,NVDA.3Q16,1300,1305,3Q16,2016/3F,581.0,11/11/2016,5,9/30/2016,0.56,0.56,0.56,1.885,68.52,1.920,67.57,1.869,63.04,121.44296,7.185912,1.077044,5.7330966,-4.578626,-3.2883763,9.1,6.6,5.1,13.34037228,12.73951476,8.822018858,68.1,63.6,1.64,1.66,0.67482823,4681.5,5010,6119.591,0.028,0.028,0.030,0.001,115.710,11.765,4.365,0.379321069,0.798607828,0.047164867,0.512167736,-0.02,0.79,-6.68,-0.361,0.058,30.71859447,11/10/2016,11/16/2016,11/4/2016,11/13/2015,10/14/2016,10/7/2016,8/12/2016
ARIA,"ARIAD Pharmaceuticals, Inc.",ARIA.3Q16,2300,2320,3Q16,2016/3F,55.4,11/07/2016,1,9/30/2016,-0.19,-0.20,-0.20,-0.436,13.69,-0.477,8.72,-0.331,10.02,105.354546,-12.974053,-35.83517,4.402685,-2.5911152,-1.7379522,3.8,3.5,4.0,19.7052054,15.59262529,16.94041565,13.4,10.1,1.70,1.63,0.8232726,105.412,118.804,191.12813,-0.032,-0.055,-0.033,0.022,100.952,-10.383,-34.097,0.090052623,-0.062252641,0.263751615,0.163206725,0.08,54.18,-24.69,-5.081,-6.142,81.3153436,11/4/2016,11/10/2016,10/31/2016,11/9/2015,10/10/2016,10/3/2016,8/8/2016
ASNA,"Ascena Retail Group, Inc.",ASNA.3Q16,3500,3525,3Q16,2017/1F,22.6,12/02/2016,5,9/30/2016,0.19,0.19,0.38,0.651,5.59,0.649,6.59,0.847,7.79,-53.809525,-15.404362,35.040985,-0.10120273,1.9238591,4.7999024,7.3,4.3,10.8,20.12963039,19.58683303,19.09580043,8.0,11.5,1.73,1.42,0.46709937,4802.9,6995.4,6965.81,0.117,0.098,0.109,0.010,-53.708,-17.328,30.241,0.672418372,-0.328259378,0.027712359,0.054139126,0.31,21.40,43.18,-2.446,-49.786,45.03341731,12/1/2016,12/7/2016,11/25/2016,12/4/2015,11/4/2016,10/28/2016,9/2/2016
HPR,HighPoint Resources Corp.,HPR.3Q16,2100,2105,3Q16,2016/3F,12.5,11/04/2016,5,9/30/2016,-0.13,-0.17,-0.20,-0.865,5.56,-0.844,5.34,-0.976,5.37,-15.74803,-0.55865645,-3.9568305,2.851832,-2.7256072,-2.1344543,4.3,4.3,3.4,9.535134142,17.91825495,9.558387853,8.1,8.3,1.78,1.79,0.48196647,472.291,0,197.3775,-0.156,-0.158,-0.182,-0.024,-18.600,2.167,-1.822,0,0.273211814,-0.46785364,-0.002432807,-0.01,51.37,2.33,-23.230,-35.315,-58.20849857,11/3/2016,11/9/2016,10/28/2016,11/6/2015,10/7/2016,9/30/2016,8/5/2016
CBM,Cambrex Corporation,CBM.3Q16,2200,2210,3Q16,2016/3F,19.8,11/04/2016,5,9/30/2016,0.42,0.41,0.42,2.797,44.46,2.821,40.4,2.736,48.2,-13.715381,-16.182571,-9.131802,2.851832,-2.7256072,-2.1344543,3.9,3.9,4.5,3.427863854,4.759911564,7.513615652,58.8,62.3,1.25,1.25,0.5,374.613,433.856,480,0.063,0.070,0.057,-0.013,-16.567,-13.457,-6.997,0,-0.13874314,-0.279847155,-0.543779718,0.00,45.42,5.96,0.606,-1.775,28.13223246,11/3/2016,11/9/2016,10/28/2016,11/6/2015,10/7/2016,9/30/2016,8/5/2016
TALO,"Talos Energy, Inc.",TALO.3Q16,2100,2110,3Q16,2016/3F,18.3,11/08/2016,2,9/30/2016,-40.42,-34.27,-35.64,-117.208,67.39732,-110.138,22.068653,-117.345,57.242344,-85.30105,-61.44698,-65.78716,2.8789878,-3.330952,-1.9625127,2.1,3.0,1.4,6.500614413,6.873657131,8.461704127,44.6,58.5,2.28,2.06,0.44095856,795.542,544.649,363.78876,-1.739,-4.991,-2.050,2.941,-88.180,-58.116,-63.825,-0.310515934,0.511268622,-0.05427136,-0.23176061,0.22,101.99,31.25,17.918,13.404,-54.2715834,11/7/2016,11/11/2016,11/1/2016,11/10/2015,10/11/2016,10/4/2016,8/9/2016
