ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,year_earlier,6m_earlier,3m_earlier,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,1y_rtn_qtr_end,6m_rtn_qtr_end,3m_rtn_qtr_end,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
DDD,3D Systems Corporation,DDD.4Q14,1300,1315,4Q14,2014/4F,115.9,02/26/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.25,0.25,0.25,-64.63,-45.03,-29.11,1.031,32.87,1.068,30.65,1.002,35.97,-61.291187,-14.790106,-0.13033748,8.526743,1.4328241,1.8130898,12.7,10.9,8.5,34.82599492,33.39108876,35.48372787,41.0,46.1,1.83,1.72,0.5821049,353.633,513.4,669.1465,0.031,0.035,0.028,-0.007,-69.818,-16.223,-1.943,0.168462932,0.494827714,0.042972728,-0.018536185,0.11,33.92,12.40,0.744,0.809,89.22060441,2/25/2015,3/3/2015,2/19/2015,2/27/2014,1/29/2015,1/22/2015,11/27/2014
MMM,3M Company,MMM.4Q14,1200,1255,4Q14,2014/4F,430.8,01/27/2015,2,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.80,1.80,1.80,17.16,14.72,15.98,8.206,164.32,8.250,161.94,8.068,151.06,27.75595,7.2024345,-2.9543936,15.433836,1.8737555,-2.8208613,3.9,5.2,2.7,1.423382732,1.55014727,1.65201091,162.4,153.5,1.89,1.72,0.56713086,29904,30871,31912.982,0.050,0.051,0.053,0.002,12.322,5.329,-0.134,-0.23694262,0.458769971,-0.081775803,-0.138393867,0.17,0.31,-5.48,-0.119,-0.202,6.718104601,1/26/2015,1/30/2015,1/20/2015,1/28/2014,12/30/2014,12/23/2014,10/28/2014
AOS,A. O. Smith Corporation,AOS.4Q14,1200,1230,4Q14,2014/4F,25.1,01/27/2015,2,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.30,0.30,0.31,4.58,13.78,19.31,1.361,28.205,1.377,27.255,1.338,26.31,18.263222,3.5917878,-2.695471,15.433836,1.8737555,-2.8208613,3.1,4.4,2.2,1.825585524,2.019535656,1.915898146,29.5,29.5,1.41,1.23,0.4908249,1939.3,2153.8,2340.8813,0.048,0.051,0.051,0.000,2.829,1.718,0.125,-0.306277197,0.368688509,-0.096036993,-0.04713853,0.18,8.24,0.00,0.094,-1.526,20.7075388,1/26/2015,1/30/2015,1/20/2015,1/28/2014,12/30/2014,12/23/2014,10/28/2014
AAN,"Aaron's, Inc.",AAN.4Q14,4800,4830,4Q14,2014/4F,16.2,02/06/2015,5,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.37,0.36,0.37,3.98,-14.23,25.70,2.094,30.57,2.130,31.66,2.030,25.7,7.23871,23.190653,3.3964753,13.284052,-1.6276658,-2.9094696,5.9,7.8,4.4,5.947510145,5.908896703,4.415567043,32.3,30.2,1.50,1.56,0.5,2222.58,2234.63,2703.56,0.069,0.067,0.079,0.012,-6.045,24.818,6.306,-0.240415639,0.346986763,0.006534797,0.34694142,-0.06,2.13,-6.60,1.389,-0.969,21.64061586,2/5/2015,2/11/2015,1/30/2015,2/7/2014,1/9/2015,1/2/2015,11/7/2014
ABAX,"Abaxis, Inc.",ABAX.4Q14,2300,2325,4Q14,2014/3F,10.8,01/30/2015,5,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.27,0.25,0.25,42.03,28.26,12.07,1.162,56.83,1.179,59.9,1.115,52.66,51.192047,13.748574,2.3756623,14.785624,1.7126799,-1.7114103,21.4,22.8,14.2,17.61614927,17.18593244,17.6863484,56.4,54.1,1.75,1.75,0.46291006,186.025,171.87,206.437,0.020,0.020,0.021,0.002,36.406,12.036,4.087,-0.059742908,0.51096424,0.02503308,-0.003969114,0.00,-5.82,-4.14,8.543,8.543,10.97271872,1/29/2015,2/4/2015,1/23/2015,1/31/2014,1/2/2015,12/26/2014,10/31/2014
ABT,Abbott Laboratories,ABT.4Q14,2300,2325,4Q14,2014/4F,218.1,01/29/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.68,0.69,0.68,17.45,10.07,8.25,2.318,45.02,2.261,44.49,2.338,43.49,23.241175,2.2993803,-2.647698,14.130378,3.4763098,-0.8483827,2.8,2.6,2.2,0.81477475,0.76350724,0.796266065,47.9,46.3,1.41,1.40,0.47899607,39874,21848,20380.2,0.051,0.051,0.054,0.003,9.111,-1.177,-1.799,0.07310046,0.258893769,0.067147378,0.023244346,0.00,7.76,-3.38,-0.986,-0.337,-48.88849877,1/28/2015,2/3/2015,1/22/2015,1/30/2014,1/1/2015,12/25/2014,10/30/2014
ABBV,"AbbVie, Inc.",ABBV.4Q14,2300,2305,4Q14,2014/4F,734.3,01/30/2015,5,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.86,0.85,0.86,23.92,15.95,13.30,4.325,65.44,4.433,62.43,3.923,63.46,33.841156,-1.6230702,-6.7930756,14.785624,1.7126799,-1.7114103,2.1,3.5,1.5,1.037069589,1.127976676,1.861587519,71.3,66.1,1.41,1.29,0.50729966,18380,18790,19888.076,0.066,0.071,0.062,-0.009,19.056,-3.336,-5.082,-0.398428622,0.383054862,-0.080593055,-0.442911183,0.12,14.19,-7.21,0.461,-0.215,8.204983678,1/29/2015,2/4/2015,1/23/2015,1/31/2014,1/2/2015,12/26/2014,10/31/2014
ANF,Abercrombie & Fitch Co. Class A,ANF.4Q14,3500,3525,4Q14,2014/4F,88.9,03/04/2015,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,1.14,1.17,1.22,-12.97,-33.78,-21.19,1.885,28.64,1.721,24.86,1.961,28.81,-38.716656,-13.71051,-4.8238935,8.421612,2.221942,5.513108,10.9,10.7,10.3,28.77596521,27.27352903,29.89666313,28.9,32.6,1.83,1.76,0.6454972,4510.8,4116.89,3784.958,0.066,0.069,0.068,-0.001,-47.138,-15.932,-10.337,0.017154065,0.053149808,0.055087707,-0.037485719,0.07,16.13,12.95,-2.521,-6.506,-16.09120333,3/3/2015,3/9/2015,2/25/2015,3/5/2014,2/4/2015,1/28/2015,12/3/2014
ABMD,"ABIOMED, Inc.",ABMD.4Q14,2300,2325,4Q14,2014/3F,11.6,01/28/2015,3,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.02,0.04,0.05,42.33,51.39,53.28,0.377,38.06,0.379,37.81,0.310,25.35,45.211758,49.151875,-1.6900599,15.448368,2.4863482,-2.3827076,12.1,11.3,42.2,10.73315765,11.97226332,19.28003089,38.7,28.4,1.44,1.50,0.52704626,158.124,183.643,211.5328,0.010,0.010,0.012,0.002,29.763,46.666,0.693,0.069600547,-0.712575392,-0.10349803,-0.443301844,-0.06,2.27,-26.62,-46.154,-58.140,33.77652981,1/27/2015,2/2/2015,1/21/2015,1/29/2014,12/31/2014,12/24/2014,10/29/2014
AXAS,Abraxas Petroleum Corporation,AXAS.4Q14,2100,2105,4Q14,2014/4F,12.2,03/05/2015,4,12/31/2014,12/31/2013,6/30/2014,9/30/2014,0.04,0.05,0.09,-9.84,-53.04,-44.32,0.280,2.94,0.140,3.15,0.413,2.79,0,12.903225,8.996534,9.368885,2.2170663,4.379666,4.9,3.9,4.2,10.58868915,12.98646609,10.84073525,4.2,5.7,1.45,1.36,0.52223295,68.573,94.331,136.75224,0.095,0.045,0.148,0.104,-9.369,10.686,4.617,0.259203497,0.154847673,-0.184636599,-0.023249909,0.09,33.16,35.76,-17.582,-53.416,99.42577983,3/4/2015,3/10/2015,2/26/2015,3/6/2014,2/5/2015,1/29/2015,12/4/2014
