ticker_symbol,co_name,factset_sector_num,FactSet Econ Sector,factset_ind_num,FactSet Ind
IRDM,Iridium Communications Inc.,4900,Communications,4915,Wireless Telecommunications
S,Sprint Corp.,4900,Communications,4915,Wireless Telecommunications
TMUS,"T-Mobile US, Inc.",4900,Communications,4915,Wireless Telecommunications
TDS,"Telephone and Data Systems, Inc.",4900,Communications,4915,Wireless Telecommunications
CTL,"CenturyLink, Inc.",4900,Communications,4910,Specialty Telecommunications
CCOI,Cogent Communications Holdings Inc,4900,Communications,4910,Specialty Telecommunications
DGI,"DigitalGlobe, Inc.",4900,Communications,4910,Specialty Telecommunications
FTR,Frontier Communications Corporation Class B,4900,Communications,4910,Specialty Telecommunications
PLCM,"Polycom, Inc.",4900,Communications,4910,Specialty Telecommunications
TWTC,tw telecom inc. Class A,4900,Communications,4910,Specialty Telecommunications
T,AT&T Inc.,4900,Communications,4905,Major Telecommunications
LVLT,"Level 3 Communications, Inc.",4900,Communications,4905,Major Telecommunications
VZ,Verizon Communications Inc.,4900,Communications,4905,Major Telecommunications
AGNC,AGNC Investment Corp.,4800,Finance,4890,Real Estate Investment Trusts
ACC,"American Campus Communities, Inc.",4800,Finance,4890,Real Estate Investment Trusts
AMH,American Homes 4 Rent Class A,4800,Finance,4890,Real Estate Investment Trusts
AMT,American Tower Corporation,4800,Finance,4890,Real Estate Investment Trusts
NLY,"Annaly Capital Management, Inc.",4800,Finance,4890,Real Estate Investment Trusts
AIV,Apartment Investment and Management Company Class A,4800,Finance,4890,Real Estate Investment Trusts
ARR,"ARMOUR Residential REIT, Inc.",4800,Finance,4890,Real Estate Investment Trusts
AVB,"AvalonBay Communities, Inc.",4800,Finance,4890,Real Estate Investment Trusts
BXP,"Boston Properties, Inc.",4800,Finance,4890,Real Estate Investment Trusts
BRE,"BRE Properties, Inc. Class A",4800,Finance,4890,Real Estate Investment Trusts
CPT,Camden Property Trust,4800,Finance,4890,Real Estate Investment Trusts
CMO,Capstead Mortgage Corporation,4800,Finance,4890,Real Estate Investment Trusts
COR,CoreSite Realty Corporation,4800,Finance,4890,Real Estate Investment Trusts
CCI,Crown Castle International Corp,4800,Finance,4890,Real Estate Investment Trusts
CUBE,CubeSmart,4800,Finance,4890,Real Estate Investment Trusts
CYS,"CYS Investments, Inc.",4800,Finance,4890,Real Estate Investment Trusts
DLR,"Digital Realty Trust, Inc.",4800,Finance,4890,Real Estate Investment Trusts
DFT,"DuPont Fabros Technology, Inc.",4800,Finance,4890,Real Estate Investment Trusts
EQIX,"Equinix, Inc.",4800,Finance,4890,Real Estate Investment Trusts
EQR,Equity Residential,4800,Finance,4890,Real Estate Investment Trusts
ESS,"Essex Property Trust, Inc.",4800,Finance,4890,Real Estate Investment Trusts
EXR,Extra Space Storage Inc.,4800,Finance,4890,Real Estate Investment Trusts
FRT,Federal Realty Investment Trust,4800,Finance,4890,Real Estate Investment Trusts
