ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
AMD,"Advanced Micro Devices, Inc.",AMD.1Q16,1300,1305,1Q16,2016/1F,32.9,04/22/2016,42.4,-0.13,-0.12,0.01,1.7,5,4/21/2016,4/27/2016,42.4,0.3,42.0,20,4/15/2016,-0.11,-0.14,0.03,0.242
GNW,"Genworth Financial, Inc. Class A",GNW.1Q16,4800,4865,1Q16,2016/1F,23.7,04/29/2016,39.5,0.14,0.21,0.07,-17.0,5,4/28/2016,5/4/2016,39.5,-1.2,40.7,11,4/22/2016,0.22,0.08,0.14,0.510
DXC,DXC Technology Co.,DXC.1Q16,3300,3305,1Q16,2015/4F,49.2,05/25/2016,38.0,0.68,0.73,0.05,0.5,3,5/24/2016,5/30/2016,38.1,1.1,37.0,16,5/18/2016,0.79,0.60,0.19,0.251
JOY,Joy Global Inc.,JOY.1Q16,1200,1220,1Q16,2016/2F,56.1,06/02/2016,34.7,-0.01,0.09,0.10,-0.3,4,6/1/2016,6/7/2016,34.7,0.7,34.0,20,5/26/2016,0.14,-0.08,0.22,0.429
SWN,Southwestern Energy Company,SWN.1Q16,2100,2105,1Q16,2016/1F,163.8,04/22/2016,28.0,-0.21,-0.08,0.13,4.9,5,4/21/2016,4/27/2016,28.0,0.3,27.7,38,4/15/2016,0.04,-0.49,0.53,0.254
EPE,EP Energy Corp. Class A,EPE.1Q16,2100,2105,1Q16,2016/1F,11.7,05/05/2016,27.8,0.03,0.19,0.16,-43.7,4,5/4/2016,5/10/2016,27.8,1.6,26.2,23,4/28/2016,0.28,-0.17,0.45,0.353
BGS,"B&G Foods, Inc.",BGS.1Q16,2400,2405,1Q16,2016/1F,23.8,04/29/2016,27.6,0.51,0.65,0.14,-1.4,5,4/28/2016,5/4/2016,27.6,-1.2,28.8,9,4/22/2016,0.55,0.49,0.06,2.296
SNCR,"Synchronoss Technologies, Inc.",SNCR.1Q16,3300,3320,1Q16,2016/1F,17.1,05/06/2016,26.9,0.46,0.49,0.03,1.0,5,5/5/2016,5/11/2016,26.9,0.7,26.2,8,4/29/2016,0.47,0.44,0.03,1.048
ATW,"Atwood Oceanics, Inc.",ATW.1Q16,3100,3105,1Q16,2016/2F,38.4,05/06/2016,24.7,1.57,1.76,0.19,0.5,5,5/5/2016,5/11/2016,24.7,0.7,24.0,28,4/29/2016,1.95,1.12,0.83,0.230
NGL,NGL Energy Partners LP,NGL.1Q16,3100,3130,1Q16,2015/4F,15.3,05/27/2016,23.7,0.51,-1.99,-2.50,-10.6,5,5/26/2016,6/1/2016,15.2,0.5,14.6,9,5/20/2016,0.75,0.30,0.45,-5.552
FCX,"Freeport-McMoRan, Inc.",FCX.1Q16,1100,1120,1Q16,2016/1F,419.7,04/26/2016,23.3,-0.17,-0.16,0.01,0.5,2,4/25/2016,4/29/2016,23.3,-1.0,24.4,15,4/19/2016,0.00,-0.37,0.37,0.028
ATGE,Adtalem Global Education Inc.,ATGE.1Q16,3400,3450,1Q16,2016/3F,19.5,05/06/2016,23.3,0.62,0.71,0.10,1.7,5,5/5/2016,5/11/2016,23.3,0.7,22.6,9,4/29/2016,0.65,0.58,0.07,1.357
UNT,Unit Corporation,UNT.1Q16,2100,2105,1Q16,2016/1F,15.4,05/05/2016,22.8,-0.40,-0.41,-0.01,-8.3,4,5/4/2016,5/10/2016,22.8,1.6,21.2,8,4/28/2016,-0.19,-0.56,0.37,-0.037
NSP,"Insperity, Inc.",NSP.1Q16,3200,3235,1Q16,2016/1F,12.8,05/02/2016,22.6,0.73,0.82,0.08,-0.7,1,4/29/2016,5/5/2016,22.6,-0.8,23.3,5,4/25/2016,0.74,0.43,0.32,0.260
CIEN,Ciena Corporation,CIEN.1Q16,1300,1320,1Q16,2016/2F,66.3,06/02/2016,22.5,0.27,0.34,0.07,1.6,4,6/1/2016,6/7/2016,22.5,0.7,21.8,19,5/26/2016,0.31,0.24,0.07,1.046
AMBA,"Ambarella, Inc.",AMBA.1Q16,1300,1305,1Q16,2016/1F,76.8,06/03/2016,22.3,0.28,0.34,0.06,1.7,5,6/2/2016,6/8/2016,22.3,0.7,21.5,12,5/27/2016,0.30,0.26,0.04,1.583
NVDA,NVIDIA Corporation,NVDA.1Q16,1300,1305,1Q16,2016/1F,294.0,05/13/2016,21.9,0.31,0.33,0.02,3.2,5,5/12/2016,5/18/2016,21.9,-0.8,22.7,22,5/6/2016,0.35,0.28,0.07,0.253
