unique_earnings_code,hvol_20_120_F,hvol_10_60_F,h30_v_imp30_F
TCO.1Q14,-0.0826,-0.14629999999999999,-0.036400000000000016
SNX.1Q14,-0.08099999999999999,-0.2138,-0.042899999999999994
AIV.1Q14,-0.07929999999999998,-0.20889999999999997,-0.0421
IT.1Q14,-0.06910000000000002,-0.11230000000000004,-0.03
MPWR.1Q14,-0.08990000000000001,-0.13309999999999997,-0.028700000000000003
WETF.1Q14,-0.09369999999999998,-0.1243,-0.02400000000000002
SLG.1Q14,-0.0766,-0.07780000000000001,-0.06189999999999998
SKX.1Q14,-0.0771,-0.040600000000000025,-0.04600000000000001
EA.1Q14,-0.06989999999999999,-0.03290000000000001,-0.043800000000000006
SBGI.1Q14,-0.05099999999999999,-0.049600000000000005,-0.045899999999999996
GWRE.1Q14,-0.0295,-0.01469999999999999,-0.03459999999999999
MASI.1Q14,-0.020000000000000018,-0.012500000000000011,-0.037599999999999995
DLB.1Q14,-0.019700000000000023,-0.013399999999999967,-0.04999999999999996
PSA.1Q14,-0.015300000000000008,0.0814,-0.04519999999999999
BSX.1Q14,-0.011799999999999977,0.06999999999999998,-0.04440000000000002
COTY.1Q14,0.0014000000000000123,0.0897,-0.02479999999999999
TAP.1Q14,-0.014000000000000012,0.07050000000000001,-0.03510000000000002
INFN.1Q14,-0.015599999999999975,0.009700000000000014,-0.03190000000000004
RGP.1Q14,-0.017100000000000032,-0.0904,-0.04379999999999998
NYT.1Q14,-0.014900000000000024,-0.10559999999999999,-0.04990000000000003
AMBA.1Q14,-0.0189,-0.038099999999999995,-0.04660000000000003
FMC.1Q14,-0.03290000000000001,-0.023800000000000016,-0.06090000000000001
ASGN.1Q14,-0.03309999999999999,-0.06819999999999998,-0.05210000000000001
XRX.1Q14,-0.04219999999999999,-0.0363,-0.0572
LPI.1Q14,-0.07349999999999998,-0.025900000000000006,-0.04529999999999998
ABG.1Q14,-0.10830000000000001,-0.0257,-0.05020000000000002
LOPE.1Q14,-0.10220000000000001,-0.002899999999999986,-0.06030000000000002
FSLR.1Q14,-0.09960000000000002,-0.03109999999999999,-0.07190000000000002
AZPN.1Q14,-0.10249999999999998,-0.059600000000000014,-0.09000000000000002
KBR.1Q14,-0.11789999999999998,-0.0776,-0.08910000000000001
NOC.1Q14,-0.11789999999999998,-0.0929,-0.09720000000000004
TFCFA.1Q14,-0.10199999999999998,-0.05860000000000001,-0.12409999999999999
KDP.1Q14,-0.1008,-0.06040000000000001,-0.17629999999999998
MMP.1Q14,-0.08109999999999998,-0.020600000000000007,-0.16880000000000003
ROP.1Q14,-0.066,0.03390000000000001,-0.0169
SWK.1Q14,-0.07119999999999999,0.041800000000000004,-0.014399999999999996
ISIL.1Q14,-0.0718,0.02890000000000001,0.007000000000000006
WAT.1Q14,-0.0653,0.03290000000000001,-0.00020000000000000573
CAR.1Q14,-0.06540000000000001,0.021900000000000003,0.007099999999999995
MCHP.1Q14,-0.06770000000000001,-0.06180000000000002,-0.0058
WWW.1Q14,-0.061299999999999966,-0.0547,-0.001700000000000007
ATVI.1Q14,-0.060100000000000015,-0.04479999999999998,-0.008800000000000002
MTOR.1Q14,-0.053700000000000025,-0.089,-0.008000000000000007
YRCW.1Q14,-0.05840000000000001,-0.0943,-0.0189
ETFC.1Q14,-0.0718,-0.1014,-0.0267
POST.1Q14,-0.1084,-0.0557,-0.025800000000000017
FRX.1Q14,-0.10869999999999999,-0.07,-0.026099999999999984
SNPS.1Q14,-0.1129,-0.010099999999999998,-0.04770000000000002
CLB.1Q14,-0.118,-0.009300000000000003,-0.0577
NUAN.1Q14,-0.0728,-0.049600000000000005,-0.093
TRN.1Q14,-0.03939999999999999,-0.02210000000000001,-0.0763
BAH.1Q14,-0.0674,-0.01150000000000001,-0.08230000000000001
TUP.1Q14,-0.0715,-0.02940000000000001,-0.09210000000000002
SGMS.1Q14,-0.06029999999999999,-0.03270000000000001,-0.0927
DK.1Q14,-0.05439999999999999,-0.04189999999999999,-0.0925
MRVL.1Q14,-0.05249999999999999,-0.035799999999999985,-0.12890000000000001
PHH.1Q14,-0.0441,-0.00040000000000001146,-0.1158
AWHHF.1Q14,-0.04569999999999999,-0.00020000000000000573,-0.1129
RH.1Q14,-0.0499,0.008800000000000002,-0.12390000000000001
BG.1Q14,-0.046200000000000005,-0.030999999999999986,-0.1271
EL.1Q14,-0.05,-0.015100000000000002,-0.13319999999999999
AET.1Q14,-0.053099999999999994,-0.021199999999999997,-0.1386
WRB.1Q14,-0.0509,-0.0058,-0.14350000000000002
SPWR.1Q14,-0.00010000000000001674,0.052199999999999996,-0.11200000000000002
CRUS.1Q14,0.018599999999999978,0.09200000000000003,-0.09640000000000001
AHL.1Q14,0.024900000000000005,0.09890000000000002,-0.08630000000000002
HSNI.1Q14,0.03,0.11529999999999999,-0.08560000000000001
GIII.1Q14,0.030099999999999988,0.12009999999999998,-0.08580000000000002
OSIS.1Q14,0.03,0.1272,-0.08359999999999998
IDTI.1Q14,0.030299999999999994,0.1306,-0.08889999999999998
ADSK.1Q14,0.019500000000000017,0.0353,-0.09269999999999998
GLUU.1Q14,0.023499999999999993,0.006000000000000005,-0.08989999999999998
HOLX.1Q14,0.029099999999999987,0.012299999999999978,-0.09509999999999999
FLT.1Q14,0.03459999999999999,-0.028499999999999998,-0.11299999999999999
CPRI.1Q14,0.03420000000000001,-0.02159999999999998,-0.1339
DF.1Q14,0.037000000000000005,-0.024400000000000005,-0.11550000000000002
CAKE.1Q14,0.049199999999999994,0.006099999999999994,-0.12130000000000002
DATA.1Q14,0.003899999999999987,0.015100000000000002,-0.12210000000000001
BIG.1Q14,-0.008000000000000007,0.02049999999999999,-0.12269999999999998
MAN.1Q14,-0.007599999999999996,-0.009200000000000014,-0.1385
EME.1Q14,-0.021100000000000008,-0.008599999999999997,-0.1184
LCI.1Q14,-0.01629999999999998,0.007300000000000001,-0.1071
GEO.1Q14,0.00020000000000000573,0.0032000000000000084,-0.11960000000000001
NUS.1Q14,0.050699999999999995,0.07730000000000001,0.04419999999999999
MJN.1Q14,0.050199999999999995,0.062299999999999994,0.040200000000000014
HIW.1Q14,0.04219999999999999,0.06969999999999998,0.03270000000000001
NWSA.1Q14,0.0451,0.03699999999999998,0.038099999999999995
TEL.1Q14,0.0499,0.055300000000000016,0.03949999999999998
NVDA.1Q14,0.032,-0.06620000000000001,0.034900000000000014
COP.1Q14,0.031,-0.1227,0.037500000000000006
NXPI.1Q14,0.033399999999999985,-0.12409999999999999,0.03240000000000001
HCBK.1Q14,0.03320000000000001,-0.12040000000000001,0.03
PFG.1Q14,0.021600000000000008,-0.06359999999999999,0.021800000000000014
HAE.1Q14,0.022499999999999992,-0.0706,0.015300000000000008
LRCX.1Q14,0.019699999999999995,-0.05860000000000001,0.004699999999999982
IFF.1Q14,-0.04879999999999998,-0.056499999999999995,0.010599999999999998
HSH.1Q14,-0.0665,-0.0636,-0.0019000000000000128
BCOR.1Q14,-0.06620000000000001,-0.11870000000000001,-0.013800000000000007
KLAC.1Q14,-0.0295,-0.022499999999999992,-0.057499999999999996
FAF.1Q14,-0.0184,0.00040000000000001146,-0.0567
EPAM.1Q14,-0.011699999999999988,0.01630000000000001,-0.0572
OVTI.1Q14,0.0029000000000000137,0.021900000000000003,-0.050600000000000006
