ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp,
RAMP,"LiveRamp Holdings, Inc.",RAMP.1Q14,3300,3305,1Q14,2013/4F,14.4,05/15/2014,-22.0,0.20,-0.38,-0.58,0.1,4,5/14/2014,5/20/2014,-22.0,-0.8,-21.2,4,5/8/2014,0.20,0.19,0.01,-58.000,
AMBC,"Ambac Financial Group, Inc.",AMBC.1Q14,4800,4875,1Q14,2014/1F,17.6,05/13/2014,-1.3,0.95,3.75,2.80,7.0,2,5/12/2014,5/16/2014,-1.3,-1.1,-0.2,2,5/6/2014,1.01,0.89,0.12,23.333,
TCO,"Taubman Centers, Inc.",TCO.1Q14,4800,4890,1Q14,2014/1F,37.3,04/25/2014,-0.2,0.40,5.77,5.37,3.4,5,4/24/2014,4/30/2014,-0.2,0.2,-0.3,7,4/18/2014,0.50,0.23,0.27,19.904,
WRI,Weingarten Realty Investors,WRI.1Q14,4800,4890,1Q14,2014/1F,25.3,04/25/2014,0.3,0.14,0.49,0.35,0.6,5,4/24/2014,4/30/2014,0.3,0.2,0.1,2,4/18/2014,0.15,0.13,0.02,19.380,
LF,"LeapFrog Enterprises, Inc. Class A",LF.1Q14,1400,1435,1Q14,2013/4F,6.4,02/13/2014,-3.7,0.13,0.90,0.77,-13.3,4,2/12/2014,2/18/2014,-6.3,1.3,-7.5,1,2/6/2014,0.17,0.11,0.06,12.833,
SNX,SYNNEX Corporation,SNX.1Q14,3250,3265,1Q14,2014/1F,17.4,04/04/2014,15.2,0.94,1.25,0.31,9.5,5,4/3/2014,4/9/2014,15.2,-1.0,16.2,9,3/28/2014,0.95,0.92,0.03,10.411,
KFN,KKR Financial Holdings LLC,KFN.1Q14,4800,4890,1Q14,2014/1F,14.1,04/24/2014,-1.5,0.24,0.49,0.25,2.3,4,4/23/2014,4/29/2014,-1.5,0.0,-1.5,3,4/17/2014,0.25,0.22,0.03,9.165,
AIV,Apartment Investment and Management Company Class A,AIV.1Q14,4800,4890,1Q14,2014/1F,62.7,05/02/2014,2.1,0.05,0.45,0.40,4.1,5,5/1/2014,5/7/2014,2.1,-0.3,2.4,4,4/25/2014,0.07,0.02,0.05,7.405,
WTM,White Mountains Insurance Group Ltd,WTM.1Q14,4800,4855,1Q14,2014/1F,14.5,04/28/2014,1.3,7.08,15.56,8.48,2.1,1,4/25/2014,5/1/2014,1.3,1.0,0.2,2,4/21/2014,7.65,6.50,1.15,7.379,
MBI,MBIA Inc.,MBI.1Q14,4800,4875,1Q14,2014/1F,27.1,05/13/2014,-5.3,0.14,1.32,1.19,4.8,2,5/12/2014,5/16/2014,-5.3,-1.1,-4.2,2,5/6/2014,0.22,0.05,0.17,6.971,
IT,"Gartner, Inc.",IT.1Q14,3200,3205,1Q14,2014/1F,51.1,05/01/2014,4.8,0.37,0.44,0.07,3.1,4,4/30/2014,5/6/2014,4.8,-0.9,5.6,10,4/24/2014,0.38,0.37,0.01,6.900,
HLF,Herbalife Nutrition Ltd.,HLF.1Q14,3250,3260,1Q14,2014/1F,266.8,04/29/2014,1.9,0.65,0.75,0.10,2.1,2,4/28/2014,5/2/2014,1.9,0.7,1.2,3,4/22/2014,0.66,0.64,0.02,6.667,
MPWR,"Monolithic Power Systems, Inc.",MPWR.1Q14,1300,1305,1Q14,2014/1F,23.0,04/25/2014,-2.6,0.26,0.39,0.13,-0.1,5,4/24/2014,4/30/2014,-2.6,0.2,-2.8,9,4/18/2014,0.27,0.25,0.02,6.650,
NRF,NorthStar Realty Finance Corp.,NRF.1Q14,4800,4890,1Q14,2014/1F,49.7,05/09/2014,0.4,0.38,-0.69,-1.07,7.6,5,5/8/2014,5/14/2014,0.4,0.6,-0.2,2,5/2/2014,0.47,0.29,0.18,-5.944,
