ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
DDD,3D Systems Corporation,DDD.1Q15,1300,1315,1Q15,2015/1F,80.1,05/06/2015,-16.3,0.16,0.05,-0.11,-11.0,3,5/5/2015,5/11/2015,-7.8,0.8,-8.7,22,4/29/2015,0.21,0.02,0.19,-0.560
MMM,3M Company,MMM.1Q15,1200,1255,1Q15,2015/1F,378.9,04/23/2015,-3.9,1.92,1.85,-0.07,-3.3,4,4/22/2015,4/28/2015,-3.9,0.3,-4.1,13,4/16/2015,1.97,1.86,0.11,-0.668
AOS,A. O. Smith Corporation,AOS.1Q15,1200,1230,1Q15,2015/1F,33.0,04/24/2015,-2.1,0.31,0.33,0.01,1.1,5,4/23/2015,4/29/2015,-2.1,-0.4,-1.7,12,4/17/2015,0.35,0.27,0.08,0.183
AAN,"Aaron's, Inc.",AAN.1Q15,4800,4830,1Q15,2015/1F,19.6,04/24/2015,17.1,0.55,0.73,0.18,3.5,5,4/23/2015,4/29/2015,17.1,-0.4,17.5,8,4/17/2015,0.58,0.46,0.12,1.510
ABAX,"Abaxis, Inc.",ABAX.1Q15,2300,2325,1Q15,2014/4F,12.3,05/01/2015,-17.6,0.27,0.17,-0.10,-7.1,5,4/30/2015,5/6/2015,-17.6,-0.2,-17.4,7,4/24/2015,0.28,0.25,0.03,-3.292
ABT,Abbott Laboratories,ABT.1Q15,2300,2325,1Q15,2015/1F,257.8,04/22/2015,0.8,0.42,0.47,0.05,1.0,3,4/21/2015,4/27/2015,0.8,0.5,0.3,15,4/15/2015,0.43,0.40,0.03,1.763
ABBV,"AbbVie, Inc.",ABBV.1Q15,2300,2305,1Q15,2015/1F,713.3,04/23/2015,3.1,0.85,0.94,0.09,0.9,4,4/22/2015,4/28/2015,3.1,0.3,2.8,11,4/16/2015,0.92,0.81,0.11,0.827
ANF,Abercrombie & Fitch Co. Class A,ANF.1Q15,3500,3525,1Q15,2015/1F,74.3,05/28/2015,7.7,-0.34,-0.53,-0.19,-2.9,4,5/27/2015,6/2/2015,7.7,-0.6,8.3,30,5/21/2015,-0.12,-0.60,0.48,-0.391
ABMD,"ABIOMED, Inc.",ABMD.1Q15,2300,2325,1Q15,2014/4F,29.8,05/05/2015,3.4,0.15,2.24,2.09,8.3,2,5/4/2015,5/8/2015,3.4,0.1,3.4,11,4/28/2015,0.29,0.07,0.22,9.496
ACHC,"Acadia Healthcare Company, Inc.",ACHC.1Q15,3350,3365,1Q15,2015/1F,24.2,04/29/2015,-2.8,0.41,0.43,0.02,2.9,3,4/28/2015,5/4/2015,-2.8,-0.1,-2.7,15,4/22/2015,0.43,0.39,0.04,0.580
